filename,detector,pixel_x,pixel_y,ra_deg,dec_deg
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,100.000000,918.526316,269.9793307350,66.0017365909
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,304.631579,918.526316,269.9639217442,66.0017367287
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,509.263158,918.526316,269.9485127351,66.0017372520
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,713.894737,918.526316,269.9331041406,66.0017381030
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,918.526316,918.526316,269.9176963229,66.0017392348
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1123.157895,918.526316,269.9022895819,66.0017406108
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1327.789474,918.526316,269.8868841643,66.0017422046
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1532.421053,918.526316,269.8714802715,66.0017439989
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1737.052632,918.526316,269.8560780683,66.0017459854
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1941.684211,918.526316,269.8406776915,66.0017481642
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2146.315789,918.526316,269.8252792584,66.0017505433
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2350.947368,918.526316,269.8098828751,66.0017531382
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2555.578947,918.526316,269.7944886452,66.0017559714
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2760.210526,918.526316,269.7790966785,66.0017590717
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2964.842105,918.526316,269.7637070989,66.0017624742
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3169.473684,918.526316,269.7483200537,66.0017662194
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3374.105263,918.526316,269.7329357214,66.0017703529
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3578.736842,918.526316,269.7175543209,66.0017749251
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3783.368421,918.526316,269.7021761193,66.0017799906
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3988.000000,918.526316,269.6868014411,66.0017856077
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,100.000000,1123.157895,269.9793175304,66.0078672089
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,304.631579,1123.157895,269.9639002046,66.0078673479
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,509.263158,1123.157895,269.9484829501,66.0078678239
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,713.894737,1123.157895,269.9330661849,66.0078685866
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,918.526316,1123.157895,269.9176502575,66.0078695957
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1123.157895,1123.157895,269.9022354550,66.0078708202
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1327.789474,1123.157895,269.8868220115,66.0078722381
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1532.421053,1123.157895,269.8714101171,66.0078738356
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1737.052632,1123.157895,269.8559999258,66.0078756071
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1941.684211,1123.157895,269.8405915646,66.0078775543
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2146.315789,1123.157895,269.8251851416,66.0078796857
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2350.947368,1123.157895,269.8097807545,66.0078820166
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2555.578947,1123.157895,269.7943784996,66.0078845680
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2760.210526,1123.157895,269.7789784797,66.0078873666
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2964.842105,1123.157895,269.7635808131,66.0078904439
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3169.473684,1123.157895,269.7481856418,66.0078938363
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3374.105263,1123.157895,269.7327931402,66.0078975842
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3578.736842,1123.157895,269.7174035235,66.0079017317
